,state_code,state_name,district_name,district_code,Dist2011,num_blocks
249,17,MADHYA PRADESH,KATNI,1744,450,4
250,17,MADHYA PRADESH,KHANDWA,1725,466,4
251,17,MADHYA PRADESH,KHARGONE,1724,440,9
252,17,MADHYA PRADESH,MANDLA,1735,454,6
253,17,MADHYA PRADESH,MANDSAUR,1716,433,5
254,17,MADHYA PRADESH,MORENA,1701,419,6
255,17,MADHYA PRADESH,NARSINGHPUR,1734,452,4
256,17,MADHYA PRADESH,NEEMUCH,1741,432,3
257,17,MADHYA PRADESH,PANNA,1709,426,4
258,17,MADHYA PRADESH,RAISEN,1730,446,5
259,17,MADHYA PRADESH,RAJGARH,1726,442,5
260,17,MADHYA PRADESH,RATLAM,1717,434,6
261,17,MADHYA PRADESH,REWA,1713,430,7
262,17,MADHYA PRADESH,SAGAR,1710,427,10
263,17,MADHYA PRADESH,SATNA,1712,429,7
264,17,MADHYA PRADESH,SEHORE,1729,445,5
265,17,MADHYA PRADESH,SEONI,1737,456,8
266,17,MADHYA PRADESH,SHAHDOL,1714,460,5
267,17,MADHYA PRADESH,SHAJAPUR,1719,436,4
268,17,MADHYA PRADESH,SHEOPUR,1739,418,3
269,17,MADHYA PRADESH,SHIVPURI,1705,423,8
270,17,MADHYA PRADESH,SIDHI,1715,462,4
271,17,MADHYA PRADESH,SINGROLI,1750,463,2
272,17,MADHYA PRADESH,TIKAMGARH,1707,424,6
273,17,MADHYA PRADESH,UJJAIN,1718,435,6
274,17,MADHYA PRADESH,UMARIA,1740,431,2
275,17,MADHYA PRADESH,VIDISHA,1727,443,7
276,18,MAHARASHTRA,AHMEDNAGAR,1809,522,14
277,18,MAHARASHTRA,AKOLA,1823,501,7
278,18,MAHARASHTRA,AMRAVATI,1824,503,14
279,18,MAHARASHTRA,AURANGABAD,1815,515,9
280,18,MAHARASHTRA,BEED,1818,523,11
281,18,MAHARASHTRA,BHANDARA,1828,506,7
282,18,MAHARASHTRA,BULDHANA,1822,500,13
283,18,MAHARASHTRA,CHANDRAPUR,1829,509,15
284,18,MAHARASHTRA,DHULE,1807,498,4
285,18,MAHARASHTRA,GADCHIROLI,1830,508,12
286,18,MAHARASHTRA,GONDIA,1833,507,8
287,18,MAHARASHTRA,HINGOLI,1834,512,5
288,18,MAHARASHTRA,JALGAON,1808,499,15
289,18,MAHARASHTRA,JALNA,1816,514,8
290,18,MAHARASHTRA,KOLHAPUR,1814,530,12
291,18,MAHARASHTRA,LATUR,1821,524,10
292,18,MAHARASHTRA,NAGPUR,1827,505,13
293,18,MAHARASHTRA,NANDED,1819,511,16
294,18,MAHARASHTRA,NANDURBAR,1831,497,6
295,18,MAHARASHTRA,NASHIK,1806,516,15
296,18,MAHARASHTRA,OSMANABAD,1820,525,8
297,18,MAHARASHTRA,PARBHANI,1817,513,9
298,18,MAHARASHTRA,PUNE,1810,521,13
299,18,MAHARASHTRA,RAIGAD,1803,520,15
300,18,MAHARASHTRA,RATNAGIRI,1804,528,9
301,18,MAHARASHTRA,SANGLI,1812,531,10
302,18,MAHARASHTRA,SATARA,1811,527,11
303,18,MAHARASHTRA,SINDHUDURG,1805,529,8
304,18,MAHARASHTRA,SOLAPUR,1813,526,11
305,18,MAHARASHTRA,THANE,1802,517,13
306,18,MAHARASHTRA,WARDHA,1826,504,8
307,18,MAHARASHTRA,WASHIM,1832,502,6
308,18,MAHARASHTRA,YAVATMAL,1825,510,16
309,20,MANIPUR,BISHNUPUR,2006,275,2
310,20,MANIPUR,CHANDEL,2004,280,5
311,20,MANIPUR,CHURACHANDPUR,2003,274,10
312,20,MANIPUR,IMPHAL EAST,2009,278,3
313,20,MANIPUR,IMPHAL WEST,2007,277,2
314,20,MANIPUR,SENAPATI,2001,272,6
315,20,MANIPUR,TAMENGLONG,2002,273,5
316,20,MANIPUR,THOUBAL,2005,276,2
317,20,MANIPUR,UKHRUL,2008,279,6
318,21,MEGHALAYA,EAST GARO HILLS,2104,294,3
319,21,MEGHALAYA,EAST KHASI HILLS,2102,298,8
320,21,MEGHALAYA,RI BHOI,2107,297,3
321,21,MEGHALAYA,SOUTH GARO HILLS,2106,295,4
322,21,MEGHALAYA,WEST GARO HILLS,2105,293,6
323,21,MEGHALAYA,WEST JAINTIA HILLS,2108,299,3
324,21,MEGHALAYA,WEST KHASI HILLS,2103,296,4
325,22,MIZORAM,AIZAWL,2201,283,4
326,22,MIZORAM,CHAMPHAI,2206,284,4
327,22,MIZORAM,KOLASIB,2205,282,1
328,22,MIZORAM,LAWNGTLAI,2208,287,4
329,22,MIZORAM,LUNGLEI,2202,286,3
330,22,MIZORAM,MAMIT,2204,281,3
331,22,MIZORAM,SAIHA,2203,288,2
332,22,MIZORAM,SERCHHIP,2207,285,2
333,23,NAGALAND,DIMAPUR,2308,265,4
334,23,NAGALAND,KIPHIRE,2309,269,3
335,23,NAGALAND,KOHIMA,2301,270,4
336,23,NAGALAND,LONGLENG,2310,268,2
337,23,NAGALAND,MOKOKCHUNG,2305,262,5
338,23,NAGALAND,MON,2307,261,6
339,23,NAGALAND,PAREN,2311,271,3
340,23,NAGALAND,PHEK,2302,266,8
341,23,NAGALAND,TUENSANG,2306,267,9
342,23,NAGALAND,WOKHA,2304,264,5
343,23,NAGALAND,ZUNHEBOTO,2303,263,6
344,24,ODISHA,ANGUL,2421,384,8
345,24,ODISHA,BALESHWAR,2405,377,12
346,24,ODISHA,BARGARH,2414,370,12
347,24,ODISHA,BHADRAK,2417,378,7
348,24,ODISHA,BOLANGIR,2409,393,14
349,24,ODISHA,BOUDH,2426,391,3
350,24,ODISHA,CUTTACK,2406,381,14
351,24,ODISHA,DEOGARH,2416,373,3
352,24,ODISHA,DHENKANAL,2407,383,8
353,24,ODISHA,GAJAPATI,2424,389,7
354,24,ODISHA,GANJAM,2412,388,22
355,24,ODISHA,JAGATSINGHAPUR,2419,380,8
356,24,ODISHA,JAJPUR,2420,382,10
357,24,ODISHA,JHARSUGUDA,2415,371,5
358,24,ODISHA,KALAHANDI,2410,395,13
359,24,ODISHA,KANDHAMAL,2408,390,12
360,24,ODISHA,KENDRAPARA,2418,379,9
361,24,ODISHA,KENDUJHAR,2403,375,13
362,24,ODISHA,KHORDHA,2423,386,10
363,24,ODISHA,KORAPUT,2411,398,14
364,24,ODISHA,MALKANGIRI,2431,399,7
365,24,ODISHA,MAYURBHANJ,2404,376,26
366,24,ODISHA,NABARANGAPUR,2430,397,10
367,24,ODISHA,NAYAGARH,2422,385,8
368,24,ODISHA,NUAPADA,2428,394,5
369,24,ODISHA,PURI,2413,387,11
370,24,ODISHA,RAYAGADA,2429,396,11
371,24,ODISHA,SAMBALPUR,2401,372,9
372,24,ODISHA,SONEPUR,2427,392,6
373,24,ODISHA,SUNDARGARH,2402,374,17
374,25,PONDICHERRY,KARAIKAL,2502,637,1
375,25,PONDICHERRY,PONDICHERRY,2501,635,2
376,26,PUNJAB,AMRITSAR,2602,49,9
377,26,PUNJAB,BARNALA,2621,54,3
378,26,PUNJAB,BATHINDA,2611,46,8
379,26,PUNJAB,FARIDKOT,2612,45,2
380,26,PUNJAB,FATEHGARH SAHIB,2618,40,5
381,26,PUNJAB,FIROZEPUR,2603,43,6
382,26,PUNJAB,GURDASPUR,2601,35,11
383,26,PUNJAB,HOSHIARPUR,2607,38,10
384,26,PUNJAB,JALANDHAR,2605,37,10
385,26,PUNJAB,KAPURTHALA,2606,36,5
386,26,PUNJAB,LUDHIANA,2604,41,12
387,26,PUNJAB,MANSA,2617,47,5
388,26,PUNJAB,MOGA,2615,42,4
389,26,PUNJAB,MUKTSAR,2616,44,3
390,26,PUNJAB,NAWANSHAHR,2614,39,5
391,26,PUNJAB,PATIALA,2609,48,8
392,26,PUNJAB,RUPNAGAR,2608,51,5
393,26,PUNJAB,SANGRUR,2610,53,9
394,26,PUNJAB,SAS NAGAR,2619,52,3
395,26,PUNJAB,TARAN TARAN,2620,50,8
396,27,RAJASTHAN,AJMER,2721,119,8
397,27,RAJASTHAN,ALWAR,2706,104,14
398,27,RAJASTHAN,BANSWARA,2728,125,8
399,27,RAJASTHAN,BARAN,2731,128,7
400,27,RAJASTHAN,BARMER,2717,115,8
401,27,RAJASTHAN,BHARATPUR,2707,105,8
402,27,RAJASTHAN,BHILWARA,2724,122,11
403,27,RAJASTHAN,BIKANER,2703,101,5
404,27,RAJASTHAN,BUNDI,2723,121,5
405,27,RAJASTHAN,CHITTORGARH,2729,126,11
406,27,RAJASTHAN,CHURU,2704,102,6
407,27,RAJASTHAN,DAUSA,2711,109,5
408,27,RAJASTHAN,DHOLPUR,2708,106,4
409,27,RAJASTHAN,DUNGARPUR,2727,124,5
410,27,RAJASTHAN,HANUMANGARH,2702,100,7
