Unique_ID,state_crisil,dist_crisil,Crisil_Inclusix_Scores_16,Crisil_Inclusix_ranks_16,NIC_district_code,censuscode
391,Odisha,JAGATSINGHAPUR,71.5,144,2419,380
392,Odisha,Jajpur,69.1,169,2420,382
393,Odisha,Jharsuguda,77.3,100,2415,371
394,Odisha,Kalahandi,45.8,393,2410,395
395,Odisha,Kandhamal,45.8,394,2408,390
396,Odisha,Kendrapara,52.3,314,2418,379
397,Odisha,KENDUJHAR,55.2,289,2403,375
398,Odisha,KHORDHA,100,1,2423,386
399,Odisha,Koraput,48.7,354,2411,398
400,Odisha,Malkangiri,26.2,619,2431,399
401,Odisha,Mayurbhanj,52.5,311,2404,376
402,Odisha,NUAPADA,42.8,428,2428,394
403,Odisha,NABARANGAPUR,30.6,571,2430,397
404,Odisha,Nayagarh,67.5,182,2422,385
405,Odisha,Puri,69.2,167,2413,387
406,Odisha,Rayagada,48.3,359,2429,396
407,Odisha,Sambalpur,83.5,63,2401,372
408,Odisha,Sonepur,49.8,340,2427,392
409,Odisha,Sundargarh,67.5,183,2402,374
410,PONDICHERRY,Karaikal,90.5,32,2502,637
411,PONDICHERRY,Mahe,80.1,78,,
412,PONDICHERRY,PONDICHERRY,88.7,42,2501,635
413,PONDICHERRY,Yanam,68.6,176,,
414,Punjab,Amritsar,78.8,87,2602,49
415,Punjab,Barnala,69.7,160,2621,54
416,Punjab,Bathinda,68.8,174,2611,46
417,Punjab,Faridkot,69.5,161,2612,45
418,Punjab,Fatehgarh Sahib,72,142,2618,40
419,Punjab,Fazilka,47.8,368,2622,
420,Punjab,FIROZEPUR,75.1,119,2603,43
421,Punjab,Gurdaspur,65.2,196,2601,35
422,Punjab,Hoshiarpur,69,172,2607,38
423,Punjab,Jalandhar,78.2,93,2605,37
424,Punjab,Kapurthala,73.2,132,2606,36
425,Punjab,Ludhiana,82.1,70,2604,41
426,Punjab,Mansa,58,267,2617,47
427,Punjab,Moga,61.2,244,2615,42
428,Punjab,Muktsar,62,235,2616,44
429,Punjab,Pathankot,61.8,238,2623,
430,Punjab,Patiala,82.5,68,2609,48
431,Punjab,Rupnagar,89,41,2608,51
432,Punjab,SAS NAGAR,72.4,138,2619,52
433,Punjab,Sangrur,64,210,2610,53
434,Punjab,Shahid Bhagat Singh Nagar,62.6,228,,
435,Punjab,TARAN TARAN,49.7,341,2620,50
436,Rajasthan,Ajmer,73.8,128,2721,119
437,Rajasthan,Alwar,50.9,329,2706,104
438,Rajasthan,Banswara,34.6,536,2728,125
439,Rajasthan,Baran,42.7,430,2731,128
440,Rajasthan,Barmer,31.7,561,2717,115
441,Rajasthan,Bharatpur,37.4,507,2707,105
442,Rajasthan,Bhilwara,53.7,298,2724,122
443,Rajasthan,Bikaner,52.7,308,2703,101
444,Rajasthan,Bundi,51.1,326,2723,121
445,Rajasthan,CHITTORGARH,63.8,215,2729,126
446,Rajasthan,Churu,47.9,367,2704,102
447,Rajasthan,Dausa,42.1,437,2711,109
448,Rajasthan,Dholpur,27.1,612,2708,106
449,Rajasthan,Dungarpur,38,497,2727,124
450,Rajasthan,Ganganagar,63.4,219,,
451,Rajasthan,Hanumangarh,52,315,2702,100
452,Rajasthan,Jaipur,76.6,107,2712,110
453,Rajasthan,Jaisalmer,44.6,407,2716,114
454,Rajasthan,JALORE,40.1,464,2718,116
455,Rajasthan,Jhalawar,40.1,466,2732,129
456,Rajasthan,Jhunjhunu,53.8,297,2705,103
457,Rajasthan,Jodhpur,54.3,293,2715,113
458,Rajasthan,Karauli,31.4,564,2709,107
459,Rajasthan,Kota,61.5,241,2730,127
460,Rajasthan,Nagaur,39.9,472,2714,112
461,Rajasthan,Pali,58.9,260,2720,118
462,Rajasthan,Pratapgarh,22.8,637,2733,131
463,Rajasthan,Rajsamand,46.7,386,2725,123
464,Rajasthan,Sawai Madhopur,46.8,385,2710,108
465,Rajasthan,Sikar,50.4,336,2713,111
466,Rajasthan,Sirohi,47.4,375,2719,117
467,Rajasthan,Tonk,50.7,335,2722,120
468,Rajasthan,Udaipur,48.4,357,2726,130
469,Sikkim,East Sikkim,83.1,65,2802,244
470,Sikkim,North Sikkim,42,440,2801,241
471,Sikkim,South Sikkim,48.1,364,2803,243
472,Sikkim,West Sikkim,30.4,574,2804,242
473,Tamil Nadu,Ariyalur,70.2,155,2931,616
474,Tamil Nadu,Chennai,99.6,15,,
475,Tamil Nadu,Coimbatore,94.3,20,2911,632
476,Tamil Nadu,Cuddalore,69.9,158,2903,617
477,Tamil Nadu,Dharmapuri,56.6,278,2909,630
478,Tamil Nadu,Dindigul,70.8,149,2922,612
479,Tamil Nadu,Erode,88.4,44,2910,610
480,Tamil Nadu,KANCHIPURAM,92.3,23,2901,604
481,Tamil Nadu,KANNIYAKUMARI,88,48,2928,629
482,Tamil Nadu,Karur,80.2,77,2917,613
483,Tamil Nadu,Krishnagiri,64.9,200,2930,631
484,Tamil Nadu,Madurai,82.2,69,2920,623
485,Tamil Nadu,Nagapattinam,74.9,122,2914,618
486,Tamil Nadu,Namakkal,90.9,30,2908,609
487,Tamil Nadu,THE NILGIRIS,86.6,51,2912,611
488,Tamil Nadu,Perambalur,76.6,108,2918,615
489,Tamil Nadu,Pudukkottai,70,157,2919,621
490,Tamil Nadu,Ramanathapuram,69.5,162,2923,626
491,Tamil Nadu,Salem,70.7,150,2907,608
492,Tamil Nadu,SIVAGANGAI,84.3,58,2925,622
493,Tamil Nadu,Thanjavur,77.2,101,2913,620
494,Tamil Nadu,Theni,72.1,141,2921,624
495,Tamil Nadu,TIRUVALLUR,73.1,133,2902,602
496,Tamil Nadu,TIRUVARUR,69.1,170,2915,619
497,Tamil Nadu,TIRUCHIRAPPALLI,85.6,55,2916,614
498,Tamil Nadu,TIRUNELVELI,78.5,90,2926,628
499,Tamil Nadu,THIRPPUR,69.2,168,2932,633
500,Tamil Nadu,Tiruvannamalai,61.4,242,2906,606
501,Tamil Nadu,THOOTHUKKUDI,76.8,103,2927,627
502,Tamil Nadu,Vellore,63.2,222,2905,605
503,Tamil Nadu,Villupuram,57.7,271,2904,607
504,Tamil Nadu,Virudhunagar,76.7,105,2924,625
505,Telangana,Adilabad,69.3,164,3619,532
506,Telangana,Hyderabad,84.7,57,,
507,Telangana,Karimnagar,75.8,114,3620,534
508,Telangana,Khammam,75.2,118,3622,541
509,Telangana,Mahbubnagar,60.8,245,3614,538
510,Telangana,Medak,65.9,189,3617,535
511,Telangana,Nalgonda,77.7,98,3623,539
512,Telangana,Nizamabad,74.9,124,3618,533
513,Telangana,RANGAREDDI,70.2,154,3615,537
514,Telangana,Warangal,76.1,110,3621,540
515,Tripura,Dhalai,49.2,345,3004,291
516,Tripura,Gomati,49.1,346,3008,
517,Tripura,Khowai,44.6,406,3006,
518,Tripura,North Tripura,66.9,187,3003,292
519,Tripura,Sepahijala,47.4,377,3007,
520,Tripura,South Tripura,78.5,89,3002,290
521,Tripura,Unakoti,44.4,413,3005,
522,Tripura,West Tripura,100,1,3001,289
